Event,Time,NVFI_0_cpu,NVFI_0_ram,NVFI_0_vnfs,NVFI_1_cpu,NVFI_1_ram,NVFI_1_vnfs,NVFI_2_cpu,NVFI_2_ram,NVFI_2_vnfs
I,0.0,2,256,[],4,512,[],2,256,[]
+,5,1.8,192,['f0v0'],3.85,448,['f0v2'],1.85,192,['f0v1']
+,10,1.6,128,"['f0v0', 'f1v0']",3.85,448,['f0v2'],1.7000000000000002,128,"['f0v1', 'f1v1']"
+,15,1.6,128,"['f0v0', 'f1v0']",3.7,384,"['f0v2', 'f2v0']",1.5500000000000003,64,"['f0v1', 'f1v1', 'f2v1']"
t,20.0,1.6,128,"['f1v0', 'f0v0']",3.7,384,"['f2v0', 'f0v2']",1.5500000000000003,64,"['f1v1', 'f2v1', 'f0v1']"
t,20.0,1.6,128,"['f1v0', 'f0v0']",3.7,384,"['f0v2', 'f2v0']",1.5500000000000003,64,"['f1v1', 'f0v1', 'f2v1']"
-,25,1.8,192,['f1v0'],3.85,448,['f2v0'],1.7000000000000002,128,"['f1v1', 'f2v1']"
-,30,2.0,256,[],3.85,448,['f2v0'],1.85,192,['f2v1']
-,35,2.0,256,[],4.0,512,[],2.0,256,[]
