Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
I,0.0,,,"[8, 1024, np.int64(900)]",,,
+,5,0,True,"[7.5, 832, np.int64(820)]",[0],"dict_values([0, 2, 1])",
+,10,1,True,"[7.15, 704, np.int64(780)]","[0, 1]","dict_values([0, 2])",
+,15,2,True,"[6.850000000000001, 576, np.int64(540)]","[0, 1, 2]","dict_values([1, 2])",
t,20.0,0,True,"[6.850000000000001, 576, np.int64(540)]","[0, 1, 2]","dict_values([0, 2, 1])",
t,20.0,2,True,"[6.850000000000001, 576, np.int64(460)]","[0, 1, 2]","dict_values([1, 2])",
-,25,0,True,"[7.3500000000000005, 768, np.int64(580)]","[1, 2]",,
-,30,1,True,"[7.699999999999999, 896, np.int64(620)]",[2],,
-,35,2,True,"[8.0, 1024, np.int64(700)]",[],,
