Event,Time,SfcId,Result,Resource,Vnffgs,Reason
+,62.0,31,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,62.0,32,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,62.96797808571904,27,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",
+,63.0,33,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,63.0,34,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,63.42378292245847,4,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",
-,66.16403753594547,6,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",
+,67.0,35,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,68.45742702052995,32,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",
+,69.0,36,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,70.0,37,False,"[14453.5114282275, 23999999.24953551, 1119487.1990493883]","[20, 22]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,70.0,20,True,"[14453.5114282275, 23999999.24953551, 1119806.790134852]","[20, 22]",
t,70.0,22,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,70.44569658013859,14,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],
+,72.0,38,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,74.0,39,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,74.0,40,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,74.0988523959017,21,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],
-,74.37141368170924,10,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],
+,78.0,41,False,"[14469.357770000592, 23999999.65992204, 1119835.2572128698]",[20],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,80.0,20,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
+,81.0,42,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,83.0,43,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,83.57044831922708,13,False,"[14505.0, 24000000.0, 1123118.0]",[],
+,84.0,44,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,85.11180127697509,20,False,"[14505.0, 24000000.0, 1123118.0]",[],
-,85.94559615220096,34,False,"[14505.0, 24000000.0, 1123118.0]",[],
+,86.0,45,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,86.11252144219787,28,False,"[14505.0, 24000000.0, 1123118.0]",[],
-,86.39638296748512,23,False,"[14505.0, 24000000.0, 1123118.0]",[],
+,88.0,46,False,"[14505.0, 24000000.0, 1123118.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,90.0,47,True,"[13914.613355115762, 23999896.53195098, 1120548.2709780557]",[47],
t,90.0,47,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
+,92.0,48,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,93.0,49,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,93.37443831766656,22,False,"[14505.0, 24000000.0, 1112510.0]",[],
-,93.95089100541065,36,False,"[14505.0, 24000000.0, 1112510.0]",[],
-,94.1960077983359,43,False,"[14505.0, 24000000.0, 1112510.0]",[],
+,96.0,50,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,97.0,51,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,97.0,52,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,99.0,53,False,"[14505.0, 24000000.0, 1112510.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,101.08184910810756,37,False,"[14505.0, 24000000.0, 1111548.0]",[],
-,101.14867599127234,46,False,"[14505.0, 24000000.0, 1111548.0]",[],
-,101.56973881430638,26,False,"[14505.0, 24000000.0, 1111548.0]",[],
+,102.0,54,False,"[14505.0, 24000000.0, 1111548.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,103.32370200151593,30,False,"[14505.0, 24000000.0, 1111548.0]",[],
+,104.0,55,False,"[14505.0, 24000000.0, 1111548.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,104.2273916694625,38,False,"[14505.0, 24000000.0, 1111548.0]",[],
-,104.57859308757972,25,False,"[14505.0, 24000000.0, 1111548.0]",[],
-,107.60935469534166,45,False,"[14505.0, 24000000.0, 1111548.0]",[],
-,107.80374875790099,29,False,"[14505.0, 24000000.0, 1111548.0]",[],
+,108.0,56,False,"[14505.0, 24000000.0, 1111548.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,110.42009542499784,48,False,"[14505.0, 24000000.0, 1096954.0]",[],
+,111.0,57,False,"[14505.0, 24000000.0, 1096954.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,111.4472999280407,40,False,"[14505.0, 24000000.0, 1096954.0]",[],
+,112.0,58,False,"[14505.0, 24000000.0, 1096954.0]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,112.0,59,True,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
+,113.0,60,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,113.14134682208126,41,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
+,114.0,61,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,115.12457908811876,47,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
-,116.34124510368302,31,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
-,116.52056415223709,33,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
+,117.0,62,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,117.9465674505773,58,False,"[14479.923145601782, 23999999.584052727, 1096814.346040803]",[59],
t,120.0,59,True,"[14479.923145601784, 23999999.584052727, 1110080.401572195]",[59],
-,120.3867535425997,61,False,"[14479.923145601784, 23999999.584052727, 1110080.401572195]",[59],
+,124.0,63,False,"[14479.923145601784, 23999999.584052727, 1110080.401572195]",[59],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,124.91774112462207,39,False,"[14479.923145601784, 23999999.584052727, 1110080.401572195]",[59],
+,125.0,64,True,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",
-,126.04176000848904,51,False,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",
-,126.43022037810098,35,False,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",
+,127.0,65,False,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,127.29483153414832,42,False,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",
+,128.0,66,False,"[14450.74337251194, 23999999.116595533, 1109955.6843306448]","[59, 64]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,129.0,67,True,"[14436.35286228529, 23999998.750164278, 1109900.7566196767]","[59, 64, 67]",
-,129.4347726760293,55,False,"[14436.35286228529, 23999998.750164278, 1109900.7566196767]","[59, 64, 67]",
+,130.0,68,False,"[14436.35286228529, 23999998.750164278, 1109900.7566196767]","[59, 64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,131.0,69,False,"[14436.35286228529, 23999998.750164278, 1113304.7566196767]","[59, 64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,132.15439172941387,57,False,"[14436.35286228529, 23999998.750164278, 1113304.7566196767]","[59, 64, 67]",
-,132.86956552818958,44,False,"[14436.35286228529, 23999998.750164278, 1113304.7566196767]","[59, 64, 67]",
-,133.57953904621954,59,True,"[14461.429716683508, 23999999.16611155, 1113438.3550474816]","[64, 67]",
+,134.0,70,False,"[14461.429716683508, 23999999.16611155, 1113438.3550474816]","[64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,134.56631357184685,56,False,"[14461.429716683508, 23999999.16611155, 1113438.3550474816]","[64, 67]",
+,136.0,71,False,"[14461.429716683508, 23999999.16611155, 1113438.3550474816]","[64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,138.0,72,False,"[14461.429716683508, 23999999.16611155, 1113438.3550474816]","[64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
