Event,Time,SfcId,Result,Resource,Vnffgs,Reason
+,18.0,35,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,18.0,36,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,18.51645175227668,10,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,18.520084566774425,21,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,19.0,37,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,19.0,38,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,19.143111329362256,15,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,19.54378558255727,22,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,19.809072786732663,23,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,20.0,39,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,20.0,40,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,20.26556679159696,26,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,20.399843027549807,20,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,20.44259704996515,17,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,21.937574391196563,24,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,22.0,41,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,22.327723616473584,30,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,22.677148990963687,27,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,22.68387812319676,19,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,22.989901003158824,25,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,23.166873990078166,32,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,23.646977919800413,28,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,23.777343826743067,31,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,24.0,42,True,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
+,24.0,43,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,24.290911533235573,33,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,24.67525043359514,36,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,24.956449868576257,29,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
+,25.0,44,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,25.30499567733942,38,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,26.153577908274464,34,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,26.41205763947111,35,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
+,27.0,45,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,28.63119634261555,37,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,28.996710669929985,39,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,29.06686801365904,40,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
-,29.407631011974424,43,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],
+,30.0,46,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,30.0,47,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
