Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
+,51.0,23,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,51.16525065476297,19,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
-,51.97918966548555,7,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
+,54.0,24,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,54.04810008571811,11,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
-,55.03605636231747,16,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
-,55.43505650174964,21,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
+,56.0,25,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,58.0,26,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,59.86406542772491,14,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,
+,60.0,27,False,"[np.int64(16254), np.int64(24000000), np.int64(1087002)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,61.0,28,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,61.0,29,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,63.0,30,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,63.85496979760572,2,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,
-,64.44540575118742,6,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,
+,65.0,31,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,66.0,32,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,66.29918275928313,26,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,
-,66.83754593227403,12,False,"[np.int64(16254), np.int64(24000000), np.int64(1077448)]",[],,
+,71.0,33,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,71.0,34,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,72.0,35,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,72.3971086960198,20,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
-,73.27090989893458,27,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
+,74.0,36,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,74.41386037396576,32,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
+,78.0,37,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,78.47285360905187,18,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
-,78.64079065331445,8,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
-,79.41707149253466,30,False,"[np.int64(16254), np.int64(24000000), np.int64(1097062)]",[],,
+,81.0,38,False,"[np.int64(16254), np.int64(24000000), np.int64(1090256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,83.0,39,True,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],"dict_values([45, 14, 5, 21, 37, 45, 45])",
-,84.59977496224079,25,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,
+,86.0,40,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,87.0,41,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,87.0,42,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,89.77084683253648,23,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,
+,90.0,43,False,"[np.int64(16218), np.int64(23999972), np.int64(1089459)]",[39],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
t,90.0,39,False,"[np.int64(16254), np.int64(24000000), np.int64(1095068)]",[],,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
+,92.0,44,True,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],"dict_values([9, 39, 8, 8, 15])",
-,94.27946024886276,15,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
+,95.0,45,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,95.15543439919176,17,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
+,97.0,46,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,97.83213389567695,39,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
-,97.8601887648895,31,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
-,97.90341348005349,28,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
-,98.51024608968844,35,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
-,99.09918835352319,34,False,"[np.int64(16229), np.int64(23999969), np.int64(1094380)]",[44],,
t,100.0,44,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
+,101.0,47,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,101.0,48,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,102.0,49,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,102.82653854439883,22,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,
+,103.0,50,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,105.0,51,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,105.93869602148129,41,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,
+,107.0,52,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,107.82064257650883,43,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,
-,109.8644739940293,40,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,
+,110.0,53,False,"[np.int64(16254), np.int64(24000000), np.int64(1076256)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,110.74820896077101,24,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,
+,112.0,54,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,113.1184853835657,51,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,
+,114.0,55,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,115.14982944322608,38,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,
+,116.0,56,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,117.0,57,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,117.0,58,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,118.23510784916503,48,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,
+,119.0,59,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,119.43235866099516,33,False,"[np.int64(16254), np.int64(24000000), np.int64(1093720)]",[],,
-,120.09824874284485,29,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,120.76226618078293,37,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,121.3524126022653,47,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,121.7428885903705,45,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
+,122.0,60,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,123.53540794871184,42,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
+,126.0,61,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,126.0,62,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,126.13925523581808,57,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,127.35039074499682,52,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,127.73661409334092,36,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
+,129.0,63,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,129.4170843261244,56,False,"[np.int64(16254), np.int64(24000000), np.int64(1084346)]",[],,
-,132.46787471489333,55,False,"[np.int64(16254), np.int64(24000000), np.int64(1097830)]",[],,
+,135.0,64,False,"[np.int64(16254), np.int64(24000000), np.int64(1097830)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,135.95010389795038,60,False,"[np.int64(16254), np.int64(24000000), np.int64(1097830)]",[],,
+,136.0,65,False,"[np.int64(16254), np.int64(24000000), np.int64(1097830)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,139.0,66,False,"[np.int64(16254), np.int64(24000000), np.int64(1097830)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
