Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(600), np.int64(600), np.int64(22400)]",,
+,1.0,0,False,"[np.int64(600), np.int64(600), np.int64(22400)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[np.int64(600), np.int64(600), np.int64(22400)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,True,"[np.int64(583), np.int64(588), np.int64(21742)]",[2],
+,1.0,3,False,"[np.int64(583), np.int64(588), np.int64(21742)]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,False,"[np.int64(583), np.int64(588), np.int64(21742)]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,False,"[np.int64(583), np.int64(588), np.int64(21742)]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,6,False,"[np.int64(583), np.int64(588), np.int64(21742)]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,7,True,"[np.int64(555), np.int64(566), np.int64(20995)]","[2, 7]",
+,1.0,8,False,"[np.int64(555), np.int64(566), np.int64(20995)]","[2, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,False,"[np.int64(555), np.int64(566), np.int64(20995)]","[2, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,True,"[np.int64(526), np.int64(539), np.int64(19153)]","[2, 7, 10]",
+,1.0,11,False,"[np.int64(526), np.int64(539), np.int64(19153)]","[2, 7, 10]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,12,False,"[np.int64(526), np.int64(539), np.int64(19153)]","[2, 7, 10]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,13,True,"[np.int64(505), np.int64(521), np.int64(18829)]","[2, 7, 10, 13]",
+,1.0,14,False,"[np.int64(505), np.int64(521), np.int64(18829)]","[2, 7, 10, 13]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,15,False,"[np.int64(505), np.int64(521), np.int64(18829)]","[2, 7, 10, 13]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,False,"[np.int64(505), np.int64(521), np.int64(18829)]","[2, 7, 10, 13]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
