SOLVER_TIME,SOLVER_RESUALT,SOLVER_RESUALT_NODE,SOLVER_RESUALT_LINK,SOLVER_ACTIONS,SOLVER_REWARD,LEARN_LR,LEARN_LOSS,LEARN_ACTOR_LOSS,LEARN_CRITIC_LOSS,LEARN_ENTROPY_LOSS,LEARN_LOGPROB,LEARN_RETURN
1.0,True,True,True,"[np.int64(25), np.int64(19), np.int64(4), np.int64(24), np.int64(16), np.int64(26), np.int64(26)]",7,,,,,,,
1.0,True,True,True,"[np.int64(16), np.int64(26), np.int64(1), np.int64(2), np.int64(28)]",5,,,,,,,
1.0,True,True,True,"[np.int64(21), np.int64(21), np.int64(21), np.int64(28), np.int64(1), np.int64(16)]",5.5,,,,,,,
1.0,True,True,True,"[np.int64(25), np.int64(19), np.int64(13), np.int64(26), np.int64(16), np.int64(16), np.int64(16)]",3.8571428571428563,,,,,,,
1.0,True,True,True,"[np.int64(4), np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(5), np.int64(9), np.int64(22), np.int64(24), np.int64(13)]",9.6,,,,,,,
1.0,True,True,True,"[np.int64(5), np.int64(5), np.int64(2), np.int64(2), np.int64(26), np.int64(24), np.int64(1), np.int64(4)]",7.875,,,,,,,
1.0,True,True,True,"[np.int64(1), np.int64(12), np.int64(24), np.int64(6), np.int64(19), np.int64(19), np.int64(19), np.int64(6), np.int64(6)]",3.1111111111111085,,,,,,,
,,,,,,0.001,2.3283496,0.034041476,4.5313163,2.8649952,-2.8474097,1.5152168
1.0,True,True,True,"[np.int64(9), np.int64(5), np.int64(26), np.int64(26), np.int64(29), np.int64(25), np.int64(19), np.int64(24), np.int64(28)]",5.888888888888893,,,,,,,
1.0,True,True,True,"[np.int64(18), np.int64(12), np.int64(5), np.int64(26), np.int64(26), np.int64(9), np.int64(2), np.int64(2)]",7.0,,,,,,,
1.0,True,True,True,"[np.int64(28), np.int64(24), np.int64(19), np.int64(22), np.int64(27), np.int64(11), np.int64(19)]",2.8571428571428585,,,,,,,
1.0,False,True,False,"[np.int64(29), np.int64(26), np.int64(5), np.int64(8), np.int64(28), np.int64(28), np.int64(28)]",-2.3333333333333335,,,,,,,
1.0,True,True,True,"[np.int64(24), np.int64(22), np.int64(19), np.int64(13), np.int64(7), np.int64(4), np.int64(24), np.int64(0)]",7.25,,,,,,,
1.0,True,True,True,"[np.int64(13), np.int64(21), np.int64(24), np.int64(6), np.int64(19)]",0.4,,,,,,,
,,,,,,0.001,1.2577007,0.11557633,2.2278693,2.8189714,-2.9920807,1.1820458
1.0,False,True,True,"[np.int64(24), np.int64(22), np.int64(29), np.int64(25), np.int64(25), np.int64(1), np.int64(12)]",-2.0,,,,,,,
1.0,False,True,False,"[np.int64(26), np.int64(4), np.int64(5), np.int64(2), np.int64(2)]",-4.5,,,,,,,
1.0,True,True,True,"[np.int64(5), np.int64(26), np.int64(26), np.int64(7), np.int64(4), np.int64(5), np.int64(5)]",5.142857142857143,,,,,,,
1.0,True,True,True,"[np.int64(1), np.int64(18), np.int64(28), np.int64(4), np.int64(12), np.int64(5), np.int64(2)]",1.5714285714285734,,,,,,,
1.0,True,True,True,"[np.int64(29), np.int64(15), np.int64(15), np.int64(0), np.int64(0), np.int64(24), np.int64(24), np.int64(26)]",4.125,,,,,,,
1.0,True,True,True,"[np.int64(4), np.int64(4), np.int64(18), np.int64(18), np.int64(7), np.int64(7), np.int64(3)]",-1.8571428571428554,,,,,,,
,,,,,,0.001,0.7700966,-0.062106695,1.6041955,3.0105555,-3.0325031,0.38536125
1.0,True,True,True,"[np.int64(9), np.int64(27), np.int64(19), np.int64(19), np.int64(27)]",3.399999999999999,,,,,,,
