2025-03-20 14:49:47	mn.f1u1	0.20%	50.3MiB / 30.64GiB
2025-03-20 14:49:47	mn.f1u0	17.94%	82.41MiB / 30.64GiB
2025-03-20 14:49:47	mn.f1v2	0.22%	63.56MiB / 64MiB
2025-03-20 14:49:47	mn.f1v1	0.18%	63.14MiB / 64MiB
2025-03-20 14:49:47	mn.f1v0	0.01%	1.652MiB / 64MiB
2025-03-20 14:49:50	mn.f1u1	0.23%	50.3MiB / 30.64GiB
2025-03-20 14:49:50	mn.f1u0	16.30%	82.42MiB / 30.64GiB
2025-03-20 14:49:50	mn.f1v2	0.14%	63.56MiB / 64MiB
2025-03-20 14:49:50	mn.f1v1	0.27%	63.14MiB / 64MiB
2025-03-20 14:49:50	mn.f1v0	0.01%	1.652MiB / 64MiB
