Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[14239, 24000000, 1084720]",,
+,1.0,0,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,True,"[14229.006809023194, 23999999.536483623, 1084683.837221826]",[5],
+,1.0,6,True,"[14202.624715210326, 23999998.911252923, 1084591.798984278]","[5, 6]",
+,1.0,7,True,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",
+,1.0,8,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,12,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,13,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,14,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,15,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,17,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,18,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,19,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,20,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,21,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,22,False,"[14164.03101888291, 23999998.091712058, 1084460.6010803108]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,23,True,"[14154.23599052266, 23999997.740500417, 1084420.0853585768]","[5, 6, 7, 23]",
+,1.0,24,False,"[14154.23599052266, 23999997.740500417, 1084420.0853585768]","[5, 6, 7, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,25,True,"[14145.74226197136, 23999997.48225617, 1084398.8711774284]","[5, 6, 7, 23, 25]",
+,1.0,26,False,"[14145.74226197136, 23999997.48225617, 1084398.8711774284]","[5, 6, 7, 23, 25]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,27,True,"[14122.339946047403, 23999997.15929892, 1084315.0326395757]","[5, 6, 7, 23, 25, 27]",
+,1.0,28,True,"[13692.55998372382, 23999913.958848376, 1082691.15526604]","[5, 6, 7, 23, 25, 27, 28]",
+,1.0,29,True,"[13664.777243880748, 23999913.59023232, 1082560.4626372433]","[5, 6, 7, 23, 25, 27, 28, 29]",
+,1.0,30,False,"[13664.777243880748, 23999913.59023232, 1082560.4626372433]","[5, 6, 7, 23, 25, 27, 28, 29]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,31,False,"[13664.777243880748, 23999913.59023232, 1082560.4626372433]","[5, 6, 7, 23, 25, 27, 28, 29]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
